FID_1,NOM,X_COORD,Y_COORD,DISTRICT,CL_DISTRIC,PAYS,DATE_CREAT,AUTEUR,MAJ,PCODES,DATE_MAJ,PCODE1
0,SAN PEDRO,98816.20000000000,524250.00000000000,BAS-SASSANDRA,SAN PEDRO,COTE D'IVOIRE,2008,CNTIG,OCHA-CI,OCHA-CI,2012,CIV12
7,ABENGOUROU,445495.00000000000,744061.00000000000,COMOE,ABENGOUROU,COTE D'IVOIRE,2008,CNTIG,OCHA-CI,OCHA-CI,2012,CIV09
1,ODIENNE,-1213.90000000000,1055780.00000000000,DENGUELE,ODIENNE,COTE D'IVOIRE,2008,CNTIG,OCHA-CI,OCHA-CI,2012,CIV02
5,ABIDJAN,384553.00000000000,579681.00000000000,DISTRICT AUTONOME D'ABIDJAN,ABIDJAN,COTE D'IVOIRE,2008,CNTIG,OCHA-CI,OCHA-CI,2012,CIV14
4,YAMOUSSOUKRO,248348.00000000000,754101.00000000000,DISTRICT AUTONOME DE YAMOUSSOUKRO,YAMOUSSOUKRO,COTE D'IVOIRE,2008,CNTIG,OCHA-CI,OCHA-CI,2012,CIV10
2,GAGNOA,174406.00000000000,678471.00000000000,GOH-DJIBOUA,GAGNOA,COTE D'IVOIRE,2008,CNTIG,OCHA-CI,OCHA-CI,2012,CIV11
8,DIMBOKRO,311912.00000000000,734846.00000000000,LACS,DIMBOKRO,COTE D'IVOIRE,2008,CNTIG,OCHA-CI,OCHA-CI,2012,CIV07
13,DABOU,347277.00000000000,588410.00000000000,LAGUNES,AGBOVILLE,COTE D'IVOIRE,2008,CNTIG,OCHA-CI,OCHA-CI,2012,CIV13
6,MAN,-3261.71000000000,820854.00000000000,MONTAGNES,MAN,COTE D'IVOIRE,2008,CNTIG,OCHA-CI,OCHA-CI,2012,CIV06
3,DALOA,118530.00000000000,762640.00000000000,SASSANDRA-MARAHOUE,DALOA,COTE D'IVOIRE,2008,CNTIG,OCHA-CI,OCHA-CI,2012,CIV08
9,KORHOGO,211004.00000000000,1046480.00000000000,SAVANES,KORHOGO,COTE D'IVOIRE,2008,CNTIG,OCHA-CI,OCHA-CI,2012,CIV01
10,BOUAKE,277247.00000000000,852285.00000000000,VALLE DU BANDAMA,BOUAKE,COTE D'IVOIRE,2008,CNTIG,OCHA-CI,OCHA-CI,2012,CIV04
11,SEGUELA,95856.80000000000,882094.00000000000,WOROBA,SEGUELA,COTE D'IVOIRE,2008,CNTIG,OCHA-CI,OCHA-CI,2012,CIV05
12,BONDOUKOU,522349.00000000000,889199.00000000000,ZANZAN,BONDOUKOU,COTE D'IVOIRE,2008,CNTIG,OCHA-CI,OCHA-CI,2012,CIV03
