X_COORD,Y_COORD,DISTRICT,CL_DISTRIC,CL_REGION_,PCODE1,PAYS,DATE_CREAT,AUTEUR,MAJ,PCODES,DATE_MAJ,PCODE2,REGION
365514.00000000000,655676.00000000000,LAGUNES,AGBOVILLE,AGBOVILLE,CIV13,COTE D'IVOIRE,2008,CNTIG,OCHA-CI,OCHA-CI,2012,CIV1302,AGNEBY-TIASSA
-15586.00000000000,918344.00000000000,WOROBA,SEGUELA,TOUBA,CIV05,COTE D'IVOIRE,2008,CNTIG,OCHA-CI,OCHA-CI,2012,CIV0502,BAFING
117751.00000000000,1054110.00000000000,SAVANES,KORHOGO,BOUNDIALI,CIV01,COTE D'IVOIRE,2008,CNTIG,OCHA-CI,OCHA-CI,2012,CIV0101,BAGOUE
276962.00000000000,724925.00000000000,LACS,DIMBOKRO,TOUMODI,CIV07,COTE D'IVOIRE,2008,CNTIG,OCHA-CI,OCHA-CI,2012,CIV0702,BELIER
148239.00000000000,893492.00000000000,WOROBA,SEGUELA,MANKONO,CIV05,COTE D'IVOIRE,2008,CNTIG,OCHA-CI,OCHA-CI,2012,CIV0501,BERE
500011.00000000000,1024880.00000000000,ZANZAN,BONDOUKOU,BOUNA,CIV03,COTE D'IVOIRE,2008,CNTIG,OCHA-CI,OCHA-CI,2012,CIV0301,BOUNKANI
3134.35000000000,725452.00000000000,MONTAGNES,MAN,GUIGLO,CIV06,COTE D'IVOIRE,2008,CNTIG,OCHA-CI,OCHA-CI,2012,CIV0603,CAVALLY
384553.00000000000,579681.00000000000,DISTRICT AUTONOME D'ABIDJAN,ABIDJAN,ABIDJAN,CIV14,COTE D'IVOIRE,2008,CNTIG,OCHA-CI,OCHA-CI,2012,CIV1401,DISTRICT AUTONOME D'ABIDJAN
248348.00000000000,754101.00000000000,DISTRICT AUTONOME DE YAMOUSSOUKRO,YAMOUSSOUKRO,YAMOUSSOUKRO,CIV10,COTE D'IVOIRE,2008,CNTIG,OCHA-CI,OCHA-CI,2012,CIV1001,DISTRICT AUTONOME DE YAMOUSSOUKRO
-30194.50000000000,1110290.00000000000,DENGUELE,ODIENNE,MINIGNAN,CIV02,COTE D'IVOIRE,2008,CNTIG,OCHA-CI,OCHA-CI,2012,CIV0201,FOLON
