X_COORD,Y_COORD,NOM,DEPARTEMEN,PCODE1,PCODE2,PAYS,AUTEUR,DISTRICT,CL_DISTRIC,DATE_CREAT,MAJ,DATE_MAJ,PCODES,PCODE3,REGION,CHEF__LIEU
365514.00000000000,655676.00000000000,Agboville,AGBOVILLE,CIV13,CIV1302,COTE D'VOIRE,CNTIG,LAGUNES,AGBOVILLE,2008,OCHA-CI,2012,OCHA-CI,CIV130202,AGNEBY-TIASSA,AGBOVILLE
405023.00000000000,675069.00000000000,Adzopé,ADZOPE,CIV13,CIV1301,COTE D'VOIRE,CNTIG,LAGUNES,AGBOVILLE,2008,OCHA-CI,2012,OCHA-CI,CIV130102,ME,ADZOPE
8447.96000000000,948542.00000000000,Koro,KORO,CIV05,CIV0502,COTE D'VOIRE,CNTIG,WOROBA,SEGUELA,2008,OCHA-CI,2012,OCHA-CI,CIV050201,BAFING,TOUBA
-36442.60000000000,914053.00000000000,Ouaninou,OUANINOU,CIV05,CIV0502,COTE D'VOIRE,CNTIG,WOROBA,SEGUELA,2008,OCHA-CI,2012,OCHA-CI,CIV050203,BAFING,TOUBA
-15586.00000000000,918344.00000000000,Touba,TOUBA,CIV05,CIV0502,COTE D'VOIRE,CNTIG,WOROBA,SEGUELA,2008,OCHA-CI,2012,OCHA-CI,CIV050202,BAFING,TOUBA
98816.20000000000,524250.00000000000,San Pedro,SAN PEDRO,CIV12,CIV1202,COTE D'VOIRE,CNTIG,BAS-SASSANDRA,SAN PEDRO,2008,OCHA-CI,2012,OCHA-CI,CIV120202,SAN PEDRO,SAN PEDRO
158076.00000000000,547685.00000000000,Sassandra,SASSANDRA,CIV12,CIV1203,COTE D'VOIRE,CNTIG,BAS-SASSANDRA,SAN PEDRO,2008,OCHA-CI,2012,OCHA-CI,CIV120301,GBOKLE,SASSANDRA
15779.90000000000,488906.00000000000,Tabou,TABOU,CIV12,CIV1202,COTE D'VOIRE,CNTIG,BAS-SASSANDRA,SAN PEDRO,2008,OCHA-CI,2012,OCHA-CI,CIV120201,SAN PEDRO,SAN PEDRO
101668.00000000000,640169.00000000000,Soubre,SOUBRE,CIV12,CIV1201,COTE D'VOIRE,CNTIG,BAS-SASSANDRA,SAN PEDRO,2008,OCHA-CI,2012,OCHA-CI,CIV120101,NAWA,SOUBRE
-1213.90000000000,1055780.00000000000,Odienne,ODIENNE,CIV02,CIV0202,COTE D'VOIRE,CNTIG,DENGUELE,ODIENNE,2008,OCHA-CI,2012,OCHA-CI,CIV020203,KABADOUGOU,ODIENNE
-688.34400000000,1089650.00000000000,Samatiguila,SAMATIGUILA,CIV02,CIV0202,COTE D'VOIRE,CNTIG,DENGUELE,ODIENNE,2008,OCHA-CI,2012,OCHA-CI,CIV020201,KABADOUGOU,ODIENNE
-30194.50000000000,1110290.00000000000,Minignan,MINIGNAN,CIV02,CIV0201,COTE D'VOIRE,CNTIG,DENGUELE,ODIENNE,2008,OCHA-CI,2012,OCHA-CI,CIV020101,FOLON,MINIGNAN
66689.80000000000,1065250.00000000000,Madinani,MADINANI,CIV02,CIV0202,COTE D'VOIRE,CNTIG,DENGUELE,ODIENNE,2008,OCHA-CI,2012,OCHA-CI,CIV020202,KABADOUGOU,ODIENNE
174406.00000000000,678471.00000000000,Gagnoa,GAGNOA,CIV11,CIV1101,COTE D'VOIRE,CNTIG,GOH-DJIBOUA,GAGNOA,2008,OCHA-CI,2012,OCHA-CI,CIV110102,GOH,GAGNOA
231788.00000000000,705647.00000000000,Oume,OUME,CIV11,CIV1101,COTE D'VOIRE,CNTIG,GOH-DJIBOUA,GAGNOA,2008,OCHA-CI,2012,OCHA-CI,CIV110101,GOH,GAGNOA
118530.00000000000,762640.00000000000,Daloa,DALOA,CIV08,CIV0801,COTE D'VOIRE,CNTIG,SASSANDRA-MARAHOUE,DALOA,2008,OCHA-CI,2012,OCHA-CI,CIV080102,HAUT-SASSANDRA,DALOA
71979.10000000001,749392.00000000000,Zoukougbeu,ZOUKOUGBEU,CIV08,CIV0801,COTE D'VOIRE,CNTIG,SASSANDRA-MARAHOUE,DALOA,2008,OCHA-CI,2012,OCHA-CI,CIV080103,HAUT-SASSANDRA,DALOA
103274.00000000000,718086.00000000000,Issia,ISSIA,CIV08,CIV0801,COTE D'VOIRE,CNTIG,SASSANDRA-MARAHOUE,DALOA,2008,OCHA-CI,2012,OCHA-CI,CIV080104,HAUT-SASSANDRA,DALOA
115766.00000000000,816703.00000000000,Vavoua,VAVOUA,CIV08,CIV0801,COTE D'VOIRE,CNTIG,SASSANDRA-MARAHOUE,DALOA,2008,OCHA-CI,2012,OCHA-CI,CIV080101,HAUT-SASSANDRA,DALOA
254371.00000000000,792265.00000000000,Tiebissou,TIEBISSOU,CIV07,CIV0702,COTE D'VOIRE,CNTIG,LACS,DIMBOKRO,2008,OCHA-CI,2012,OCHA-CI,CIV070202,BELIER,TOUMODI
276962.00000000000,724925.00000000000,Toumodi,TOUMODI,CIV07,CIV0702,COTE D'VOIRE,CNTIG,LACS,DIMBOKRO,2008,OCHA-CI,2012,OCHA-CI,CIV070203,BELIER,TOUMODI
248348.00000000000,754101.00000000000,Yamoussoukro,YAMOUSSOUKRO,CIV10,CIV1001,COTE D'VOIRE,CNTIG,DISTRICT AUTONOME DE YAMOUSSOUKRO,YAMOUSSOUKRO,2008,OCHA-CI,2012,OCHA-CI,CIV100102,DISTRICT AUTONOME DE YAMOUSSOUKRO,YAMOUSSOUKRO
291040.00000000000,787340.00000000000,Didievi,DIDIEVI,CIV07,CIV0702,COTE D'VOIRE,CNTIG,LACS,DIMBOKRO,2008,OCHA-CI,2012,OCHA-CI,CIV070201,BELIER,TOUMODI
384553.00000000000,579681.00000000000,ABIDJAN,ABIDJAN,CIV14,CIV1401,COTE D'VOIRE,CNTIG,DISTRICT AUTONOME D'ABIDJAN,ABIDJAN,2008,OCHA-CI,2012,OCHA-CI,CIV140101,DISTRICT AUTONOME D'ABIDJAN,ABIDJAN
426516.00000000000,608171.00000000000,Alépé,ALEPE,CIV13,CIV1301,COTE D'VOIRE,CNTIG,LAGUNES,AGBOVILLE,2008,OCHA-CI,2012,OCHA-CI,CIV130104,ME,ADZOPE
347277.00000000000,588410.00000000000,Dabou,DABOU,CIV13,CIV1303,COTE D'VOIRE,CNTIG,LAGUNES,AGBOVILLE,2008,OCHA-CI,2012,OCHA-CI,CIV130302,GRANDS PONTS,DABOU
325456.00000000000,625596.00000000000,Sikensi,SIKENSI,CIV13,CIV1302,COTE D'VOIRE,CNTIG,LAGUNES,AGBOVILLE,2008,OCHA-CI,2012,OCHA-CI,CIV130203,AGNEBY-TIASSA,AGBOVILLE
278554.00000000000,580621.00000000000,Grand Lahou,GRAND-LAHOU,CIV13,CIV1303,COTE D'VOIRE,CNTIG,LAGUNES,AGBOVILLE,2008,OCHA-CI,2012,OCHA-CI,CIV130301,GRANDS PONTS,DABOU
342997.00000000000,575148.00000000000,Jacqueville,JACQUEVILLE,CIV13,CIV1303,COTE D'VOIRE,CNTIG,LAGUNES,AGBOVILLE,2008,OCHA-CI,2012,OCHA-CI,CIV130303,GRANDS PONTS,DABOU
298453.00000000000,651464.00000000000,Tiassalé,TIASSALE,CIV13,CIV1302,COTE D'VOIRE,CNTIG,LAGUNES,AGBOVILLE,2008,OCHA-CI,2012,OCHA-CI,CIV130201,AGNEBY-TIASSA,AGBOVILLE
195787.00000000000,772728.00000000000,Bouafle,BOUAFLE,CIV08,CIV0802,COTE D'VOIRE,CNTIG,SASSANDRA-MARAHOUE,DALOA,2008,OCHA-CI,2012,OCHA-CI,CIV080202,MARAHOUE,BOUAFLE
