FID_1,X_COORD,Y_COORD,NOM,SOUS_PREF,PCODE1,PCODE2,PCODE3,PAYS,AUTEUR,DISTRICT,CL_DISTRIC,DEPARTEMEN,DATE_CREAT,MAJ,DATE_MAJ,PCODES,PCODE4,REGION,CL_REGION
0,383555.00000000000,622637.00000000000,Azaguié,AZAGUIE,CIV13,CIV1302,CIV130202,COTE D'IVOIRE,CNTIG,LAGUNES,AGBOVILLE,AGBOVILLE,2008,OCHA-CI,2012,OCHA-CI,CIV13020211,AGNEBY-TIASSA,AGBOVILLE
1,365514.00000000000,655676.00000000000,Agboville,AGBOVILLE,CIV13,CIV1302,CIV130202,COTE D'IVOIRE,CNTIG,LAGUNES,AGBOVILLE,AGBOVILLE,2008,OCHA-CI,2012,OCHA-CI,CIV13020207,AGNEBY-TIASSA,AGBOVILLE
2,354940.00000000000,671060.00000000000,Rubino,RUBINO,CIV13,CIV1302,CIV130202,COTE D'IVOIRE,CNTIG,LAGUNES,AGBOVILLE,AGBOVILLE,2008,OCHA-CI,2012,OCHA-CI,CIV13020202,AGNEBY-TIASSA,AGBOVILLE
3,405023.00000000000,675069.00000000000,Adzope,ADZOPE,CIV13,CIV1301,CIV130102,COTE D'IVOIRE,CNTIG,LAGUNES,AGBOVILLE,ADZOPE,2008,OCHA-CI,2012,OCHA-CI,CIV13010201,ME,ADZOPE
4,-27127.80000000000,984335.00000000000,Booko,BOOKO,CIV05,CIV0502,CIV050201,COTE D'IVOIRE,CNTIG,WOROBA,SEGUELA,KORO,2008,OCHA-CI,2012,OCHA-CI,CIV05020102,BAFING,TOUBA
5,5406.37000000000,968693.00000000000,Borotou,BOROTOU,CIV05,CIV0502,CIV050201,COTE D'IVOIRE,CNTIG,WOROBA,SEGUELA,KORO,2008,OCHA-CI,2012,OCHA-CI,CIV05020103,BAFING,TOUBA
6,25556.90000000000,919131.00000000000,Guinteguela,GUINTEGUELA,CIV05,CIV0502,CIV050202,COTE D'IVOIRE,CNTIG,WOROBA,SEGUELA,TOUBA,2008,OCHA-CI,2012,OCHA-CI,CIV05020201,BAFING,TOUBA
7,-47712.80000000000,927794.00000000000,Koonan,KOONAN,CIV05,CIV0502,CIV050203,COTE D'IVOIRE,CNTIG,WOROBA,SEGUELA,OUANINOU,2008,OCHA-CI,2012,OCHA-CI,CIV05020302,BAFING,TOUBA
8,8447.96000000000,948542.00000000000,Koro,KORO,CIV05,CIV0502,CIV050201,COTE D'IVOIRE,CNTIG,WOROBA,SEGUELA,KORO,2008,OCHA-CI,2012,OCHA-CI,CIV05020105,BAFING,TOUBA
9,-36442.60000000000,914053.00000000000,Ouaninou,OUANINOU,CIV05,CIV0502,CIV050203,COTE D'IVOIRE,CNTIG,WOROBA,SEGUELA,OUANINOU,2008,OCHA-CI,2012,OCHA-CI,CIV05020303,BAFING,TOUBA
10,-15586.00000000000,918344.00000000000,Touba,TOUBA,CIV05,CIV0502,CIV050202,COTE D'IVOIRE,CNTIG,WOROBA,SEGUELA,TOUBA,2008,OCHA-CI,2012,OCHA-CI,CIV05020202,BAFING,TOUBA
11,64937.70000000000,515151.00000000000,Grand-Béréby,GRAND-BEREBY,CIV12,CIV1202,CIV120202,COTE D'IVOIRE,CNTIG,BAS-SASSANDRA,SAN PEDRO,SAN PEDRO,2008,OCHA-CI,2012,OCHA-CI,CIV12020205,SAN PEDRO,SAN PEDRO
12,98816.20000000000,524250.00000000000,San Pedro,SAN PEDRO,CIV12,CIV1202,CIV120202,COTE D'IVOIRE,CNTIG,BAS-SASSANDRA,SAN PEDRO,SAN PEDRO,2008,OCHA-CI,2012,OCHA-CI,CIV12020204,SAN PEDRO,SAN PEDRO
13,158076.00000000000,547685.00000000000,Sassandra,SASSANDRA,CIV12,CIV1203,CIV120301,COTE D'IVOIRE,CNTIG,BAS-SASSANDRA,SAN PEDRO,SASSANDRA,2008,OCHA-CI,2012,OCHA-CI,CIV12030106,GBOKLE,SASSANDRA
14,835.96600000000,545619.00000000000,Grabo,GRABO,CIV12,CIV1202,CIV120201,COTE D'IVOIRE,CNTIG,BAS-SASSANDRA,SAN PEDRO,TABOU,2008,OCHA-CI,2012,OCHA-CI,CIV12020102,SAN PEDRO,SAN PEDRO
15,15779.90000000000,488906.00000000000,Tabou,TABOU,CIV12,CIV1202,CIV120201,COTE D'IVOIRE,CNTIG,BAS-SASSANDRA,SAN PEDRO,TABOU,2008,OCHA-CI,2012,OCHA-CI,CIV12020106,SAN PEDRO,SAN PEDRO
16,57651.60000000000,693166.00000000000,Buyo,BUYO,CIV12,CIV1201,CIV120101,COTE D'IVOIRE,CNTIG,BAS-SASSANDRA,SAN PEDRO,SOUBRE,2008,OCHA-CI,2012,OCHA-CI,CIV12010101,NAWA,SOUBRE
17,108717.00000000000,677529.00000000000,Grand Zatry,GRAND-ZATTRY,CIV12,CIV1201,CIV120101,COTE D'IVOIRE,CNTIG,BAS-SASSANDRA,SAN PEDRO,SOUBRE,2008,OCHA-CI,2012,OCHA-CI,CIV12010103,NAWA,SOUBRE
18,107265.00000000000,598793.00000000000,Méagui,MEAGUI,CIV12,CIV1201,CIV120101,COTE D'IVOIRE,CNTIG,BAS-SASSANDRA,SAN PEDRO,SOUBRE,2008,OCHA-CI,2012,OCHA-CI,CIV12010109,NAWA,SOUBRE
19,101668.00000000000,640169.00000000000,Soubre,SOUBRE,CIV12,CIV1201,CIV120101,COTE D'IVOIRE,CNTIG,BAS-SASSANDRA,SAN PEDRO,SOUBRE,2008,OCHA-CI,2012,OCHA-CI,CIV12010104,NAWA,SOUBRE
20,-7302.08000000000,1015310.00000000000,Bako,BAKO,CIV02,CIV0202,CIV020203,COTE D'IVOIRE,CNTIG,DENGUELE,ODIENNE,ODIENNE,2008,OCHA-CI,2012,OCHA-CI,CIV02020307,KABADOUGOU,ODIENNE
21,33655.00000000000,995711.00000000000,Dioulatiedougou,DIOULATIEDOUGOU,CIV02,CIV0202,CIV020203,COTE D'IVOIRE,CNTIG,DENGUELE,ODIENNE,ODIENNE,2008,OCHA-CI,2012,OCHA-CI,CIV02020308,KABADOUGOU,ODIENNE
22,-1213.90000000000,1055780.00000000000,Odienne,ODIENNE,CIV02,CIV0202,CIV020203,COTE D'IVOIRE,CNTIG,DENGUELE,ODIENNE,ODIENNE,2008,OCHA-CI,2012,OCHA-CI,CIV02020304,KABADOUGOU,ODIENNE
23,-688.34400000000,1089650.00000000000,Samatiguila,SAMATIGUILA,CIV02,CIV0202,CIV020201,COTE D'IVOIRE,CNTIG,DENGUELE,ODIENNE,SAMATIGUILA,2008,OCHA-CI,2012,OCHA-CI,CIV02020101,KABADOUGOU,ODIENNE
24,-46036.20000000000,1057440.00000000000,Seydougou,SEYDOUGOU,CIV02,CIV0202,CIV020203,COTE D'IVOIRE,CNTIG,DENGUELE,ODIENNE,ODIENNE,2008,OCHA-CI,2012,OCHA-CI,CIV02020303,KABADOUGOU,ODIENNE
25,39028.60000000000,1110670.00000000000,Goulia,GOULIA,CIV02,CIV0201,CIV020102,COTE D'IVOIRE,CNTIG,DENGUELE,ODIENNE,KANIASSO,2008,OCHA-CI,2012,OCHA-CI,CIV02010202,FOLON,MINIGNAN
26,-30194.50000000000,1110290.00000000000,Minignan,MINIGNAN,CIV02,CIV0201,CIV020101,COTE D'IVOIRE,CNTIG,DENGUELE,ODIENNE,MINIGNAN,2008,OCHA-CI,2012,OCHA-CI,CIV02010104,FOLON,MINIGNAN
27,8621.48000000000,1133870.00000000000,Tienko,TIENKO,CIV02,CIV0201,CIV020101,COTE D'IVOIRE,CNTIG,DENGUELE,ODIENNE,MINIGNAN,2008,OCHA-CI,2012,OCHA-CI,CIV02010102,FOLON,MINIGNAN
28,66689.80000000000,1065250.00000000000,Madinani,MADINANI,CIV02,CIV0202,CIV020202,COTE D'IVOIRE,CNTIG,DENGUELE,ODIENNE,MADINANI,2008,OCHA-CI,2012,OCHA-CI,CIV02020203,KABADOUGOU,ODIENNE
29,47026.30000000000,1037300.00000000000,Séguélon,SEGUELON,CIV02,CIV0202,CIV020202,COTE D'IVOIRE,CNTIG,DENGUELE,ODIENNE,MADINANI,2008,OCHA-CI,2012,OCHA-CI,CIV02020204,KABADOUGOU,ODIENNE
30,174406.00000000000,678471.00000000000,Gagnoa,GAGNOA,CIV11,CIV1101,CIV110102,COTE D'IVOIRE,CNTIG,GOH-DJIBOUA,GAGNOA,GAGNOA,2008,OCHA-CI,2012,OCHA-CI,CIV11010207,GOH,GAGNOA
31,148854.00000000000,690240.00000000000,Guiberoua,GUIBEROUA,CIV11,CIV1101,CIV110102,COTE D'IVOIRE,CNTIG,GOH-DJIBOUA,GAGNOA,GAGNOA,2008,OCHA-CI,2012,OCHA-CI,CIV11010203,GOH,GAGNOA
32,175734.00000000000,698593.00000000000,Ouragahio,OURAGAHIO,CIV11,CIV1101,CIV110102,COTE D'IVOIRE,CNTIG,GOH-DJIBOUA,GAGNOA,GAGNOA,2008,OCHA-CI,2012,OCHA-CI,CIV11010204,GOH,GAGNOA
33,214507.00000000000,694985.00000000000,Diégonéfla,DIEGONEFLA,CIV11,CIV1101,CIV110101,COTE D'IVOIRE,CNTIG,GOH-DJIBOUA,GAGNOA,OUME,2008,OCHA-CI,2012,OCHA-CI,CIV11010104,GOH,GAGNOA
34,231788.00000000000,705647.00000000000,Oume,OUME,CIV11,CIV1101,CIV110101,COTE D'IVOIRE,CNTIG,GOH-DJIBOUA,GAGNOA,OUME,2008,OCHA-CI,2012,OCHA-CI,CIV11010101,GOH,GAGNOA
35,118530.00000000000,762640.00000000000,Daloa,DALOA,CIV08,CIV0801,CIV080102,COTE D'IVOIRE,CNTIG,SASSANDRA-MARAHOUE,DALOA,DALOA,2008,OCHA-CI,2012,OCHA-CI,CIV08010203,HAUT-SASSANDRA,DALOA
36,134729.00000000000,793123.00000000000,Bédiala,BEDIALA,CIV08,CIV0801,CIV080102,COTE D'IVOIRE,CNTIG,SASSANDRA-MARAHOUE,DALOA,DALOA,2008,OCHA-CI,2012,OCHA-CI,CIV08010201,HAUT-SASSANDRA,DALOA
