CNTRY_NAME,CNTRY_CODE,ADM1_NAME,ADM1_CODE,ADM2_NAME,ADM2_CODE,WHO_REGION,ISO_2_CODE,ADM2_COD_1,ADM1_COD_1,ADM0_CODE,GUID,WHO_CODE,ISO_2_ADM2,LVL,WHO_STATUS,UN_CODE,UNICEF_REG,CENTER_LON,CENTER_LAT,GlobalID,ADM1_VIZ_N,ADM2_VIZ_N,OCHAPCODE1,OCHAPCODE2
Guinea,GIN,Nzerekore,GIN008,Yomou,GIN008006,AFRO,GN,GN001008006000000000,GN001008000000000000,GN001000000000000000,{24332CC8-9139-4B3D-9505-F3EB5F3F8B21},GUI,GN_YOMOU,2,Member state,324,WCARO,-9.10432690304,7.53675677824,{4149F14D-924D-4AFC-920A-0CCD920BC0CE},N'Zerekore,Yomou,GN08,GN0806
Guinea,GIN,Nzerekore,GIN008,Nzerekore,GIN008005,AFRO,GN,GN001008005000000000,GN001008000000000000,GN001000000000000000,{DE604D86-539C-4146-AC8A-6CF71FF7E8A4},GUI,GN_N'ZEREKORE,2,Member state,324,WCARO,-8.79675542440,7.95466956810,{7A0218A6-EFB7-4C97-9783-47E66BD48F6B},N'Zerekore,Nzerekore,GN08,GN0805
Guinea,GIN,Nzerekore,GIN008,Lola,GIN008003,AFRO,GN,GN001008003000000000,GN001008000000000000,GN001000000000000000,{DE27F008-A821-47E3-972F-5A5CDD128002},GUI,GN_LOLA,2,Member state,324,WCARO,-8.32663691342,7.99102302963,{E5091A7B-9CBD-4465-9970-A6109CC283F8},N'Zerekore,Lola,GN08,GN0803
Guinea,GIN,Nzerekore,GIN008,Gueckedou,GIN008002,AFRO,GN,GN001008002000000000,GN001008000000000000,GN001000000000000000,{8FCC5814-B006-4621-9E07-D746142ED00D},GUI,GN_GUECKEDOU,2,Member state,324,WCARO,-10.30483482550,8.69493972138,{ACE7B583-167E-455D-8A13-2BBBA257696B},N'Zerekore,Gueckedou,GN08,GN0802
Guinea,GIN,Nzerekore,GIN008,Macenta,GIN008004,AFRO,GN,GN001008004000000000,GN001008000000000000,GN001000000000000000,{50356CF1-C47D-4369-B8B5-E4C203A09899},GUI,GN_MACENTA,2,Member state,324,WCARO,-9.33932375244,8.45053527378,{D93F7A32-C60A-4137-B7BC-7A1D67863F89},N'Zerekore,Macenta,GN08,GN0804
Guinea,GIN,Nzerekore,GIN008,Beyla,GIN008001,AFRO,GN,GN001008001000000000,GN001008000000000000,GN001000000000000000,{516C366D-1299-4AF3-BA22-96E9C19D3EE1},GUI,GN_BEYLA,2,Member state,324,WCARO,-8.33509894591,8.89499658308,{3DA4F8F4-91BF-4D1D-A007-F159AA401005},N'Zerekore,Beyla,GN08,GN0801
Guinea,GIN,Faranah,GIN003,Kissidougou,GIN003004,AFRO,GN,GN001003004000000000,GN001003000000000000,GN001000000000000000,{E102D840-F9A4-48FC-9A09-9D95F802F438},GUI,GN_KISSIDOUGO,2,Member state,324,WCARO,-10.02729014360,9.24280287002,{9352C2CA-20A2-4699-9B62-B63C9E113B0D},Faranah,Kissidougou,GN03,GN0304
Guinea,GIN,Kindia,GIN005,Forecariah,GIN005003,AFRO,GN,GN001005003000000000,GN001005000000000000,GN001000000000000000,{CDA157DA-FA10-4671-99CB-1C4DB56A432E},GUI,GN_FORECARIAH,2,Member state,324,WCARO,-13.06272606440,9.41630127096,{26BD07F3-BA40-40BB-A3BF-671478B0AA05},Kindia,Forecariah,GN05,GN0503
Guinea,GIN,Conakry,GIN002,Conakry,GIN002001,AFRO,GN,GN001002001000000000,GN001002000000000000,GN001000000000000000,{2E06FB19-5BC0-4FB8-9E3E-E664C17EBC83},GUI,GN_DIXINN,2,Member state,324,WCARO,-13.62573045000,9.61824334238,{B436F276-9F83-42B8-BBF9-D85A47F65A1C},Conakry,Conakry,GN02,GN0201
Guinea,GIN,Kankan,GIN004,Kerouane,GIN004002,AFRO,GN,GN001004002000000000,GN001004000000000000,GN001000000000000000,{BCD50737-7EDB-4FE1-B36E-71960F6F4500},GUI,GN_KEROUANE,2,Member state,324,WCARO,-9.10499016737,9.26366627328,{9814DC0A-D8EE-49FE-AC52-D094800F6454},Kankan,Kerouane,GN04,GN0402
