CNTRY_NAME,CNTRY_CODE,ADM1_NAME,ADM1_PCODE,ADM2_NAME,ADM2_PCODE,ADM3_NAME,ADM3_PCODE,NATREG
Guinea,GIN,Faranah,GIN003,Kissidougou,GIN003004,Albadariah,GIN00300401,Guinee Forestiere
Guinea,GIN,Kindia,GIN005,Forecariah,GIN005003,Allassoyah,GIN00500301,Basse Guinee
Guinea,GIN,Faranah,GIN003,Dabola,GIN003001,Arfamoussayah,GIN00300101,Haute Guinee
Guinea,GIN,Kankan,GIN004,Kouroussa,GIN004003,Babila,GIN00400301,Haute Guinee
Guinea,GIN,Kindia,GIN005,Dubreka,GIN005002,Badi,GIN00500201,Basse Guinee
Guinea,GIN,Kindia,GIN005,Fria,GIN005006,Baguinet,GIN00500601,Basse Guinee
Guinea,GIN,Labe,GIN006,Mali,GIN006004,Balaki,GIN00600401,Moyenne Guinee
Guinea,GIN,Kankan,GIN004,Kankan,GIN004001,Balandougou,GIN00400101,Haute Guinee
Guinea,GIN,Kankan,GIN004,Mandiana,GIN004004,Balandougouba,GIN00400401,Haute Guinee
Guinea,GIN,Kankan,GIN004,Kouroussa,GIN004003,Balato,GIN00400302,Haute Guinee
Guinea,GIN,Labe,GIN006,Lelouma,GIN006003,Balaya,GIN00600301,Moyenne Guinee
Guinea,GIN,Nzerekore,GIN008,Macenta,GIN008003,Balizia,GIN00800301,Guinee Forestiere
Guinea,GIN,Faranah,GIN003,Kissidougou,GIN003004,Banama,GIN00300402,Guinee Forestiere
Guinea,GIN,Kankan,GIN004,Kerouane,GIN004002,Banankoro,GIN00400201,Haute Guinee
Guinea,GIN,Kankan,GIN004,Kouroussa,GIN004003,Banfele,GIN00400303,Haute Guinee
Guinea,GIN,Kindia,GIN005,Kindia,GIN005004,Bangouya,GIN00500401,Basse Guinee
Guinea,GIN,Kindia,GIN005,Fria,GIN005006,Banguigny,GIN00500602,Basse Guinee
Guinea,GIN,Nzerekore,GIN008,Yomou,GIN008005,Banie,GIN00800501,Guinee Forestiere
Guinea,GIN,Faranah,GIN003,Dabola,GIN003001,Banko,GIN00300102,Haute Guinee
Guinea,GIN,Kankan,GIN004,Siguiri,GIN004005,Bankon,GIN00400501,Haute Guinee
Guinea,GIN,Faranah,GIN003,Dinguiraye,GIN003002,Banora,GIN00300201,Haute Guinee
Guinea,GIN,Mamou,GIN007,Pita,GIN007003,Bantignel,GIN00700301,Moyenne Guinee
Guinea,GIN,Faranah,GIN003,Kissidougou,GIN003004,Bardou,GIN00300403,Guinee Forestiere
Guinea,GIN,Kankan,GIN004,Kouroussa,GIN004003,Baro,GIN00400304,Haute Guinee
Guinea,GIN,Kankan,GIN004,Kankan,GIN004001,Bate Nafadji,GIN00400102,Haute Guinee
Guinea,GIN,Faranah,GIN003,Kissidougou,GIN003004,Beindou,GIN00300404,Haute Guinee
Guinea,GIN,Faranah,GIN003,Faranah,GIN003003,Beindou,GIN00300302,Haute Guinee
Guinea,GIN,Kindia,GIN005,Forecariah,GIN005003,Benty,GIN00500302,Basse Guinee
Guinea,GIN,Nzerekore,GIN008,Beyla,GIN008001,Beyla Ctre,GIN00800101,Guinee Forestiere
Guinea,GIN,Nzerekore,GIN008,Yomou,GIN008005,Bheeta,GIN00800502,Guinee Forestiere
Guinea,GIN,Nzerekore,GIN008,Yomou,GIN008005,Bignamou,GIN00800503,Guinee Forestiere
Guinea,GIN,Nzerekore,GIN008,Macenta,GIN008003,Binikala,GIN00800302,Guinee Forestiere
Guinea,GIN,Boke,GIN001,Boke,GIN001002,Bintimodia,GIN00100201,Basse Guinee
Guinea,GIN,Faranah,GIN003,Dabola,GIN003001,Bissikrima,GIN00300103,Haute Guinee
Guinea,GIN,Mamou,GIN007,Dalaba,GIN007001,Bodie,GIN00700101,Moyenne Guinee
Guinea,GIN,Boke,GIN001,Boffa,GIN001001,Boffa Ctre,GIN00100101,Basse Guinee
