CNTRY_NAME,CNTRY_CODE,ADM1_NAME,ADM1_CODE,ADM2_NAME,ADM2_CODE,OCHAPCODE1,OCHAPCODE2
Liberia,LBR,Grand Gedeh,LBR06,B'hai,LBR0601,LR06,LR0601
Liberia,LBR,Grand Kru,LBR07,Barclayville,LBR0701,LR07,LR0701
Liberia,LBR,Rivercess,LBR14,Beawor,LBR1401,LR14,LR1401
Liberia,LBR,Gbarpolu,LBR03,Belleh,LBR0301,LR03,LR0301
Liberia,LBR,Grand Kru,LBR07,Bleebo,LBR0702,LR07,LR0702
Liberia,LBR,Sinoe,LBR15,Bodae,LBR1501,LR15,LR1501
Liberia,LBR,Nimba,LBR12,Boe and Quilla,LBR1201,LR12,LR1201
Liberia,LBR,Bong,LBR02,Boinsen,LBR0201,LR02,LR0201
Liberia,LBR,Gbarpolu,LBR03,Bokomu,LBR0302,LR03,LR0302
Liberia,LBR,Sinoe,LBR15,Bokon,LBR1502,LR15,LR1502
Liberia,LBR,Grand Kru,LBR07,Bolloh,LBR0703,LR07,LR0703
Liberia,LBR,Gbarpolu,LBR03,Bopolu,LBR0303,LR03,LR0303
Liberia,LBR,Grand Kru,LBR07,Buah,LBR0704,LR07,LR0704
Liberia,LBR,Sinoe,LBR15,Butaw,LBR1503,LR15,LR1503
Liberia,LBR,Nimba,LBR12,Buu-Yao,LBR1202,LR12,LR1202
Liberia,LBR,Montserrado,LBR11,Careysburg,LBR1101,LR11,LR1101
Liberia,LBR,Grand Gedeh,LBR06,Cavala,LBR0602,LR06,LR0602
Liberia,LBR,Rivercess,LBR14,Central Rivercess,LBR1402,LR14,LR1402
Liberia,LBR,River Gee,LBR13,Chedepo,LBR1301,LR13,LR1301
Liberia,LBR,Montserrado,LBR11,Commonwealth,LBR1102,LR11,LR1102
Liberia,LBR,Grand Bassa,LBR04,Commonwealth B,LBR0401,LR04,LR0401
Liberia,LBR,Grand Cape Mount,LBR05,Commonwealth C,LBR0501,LR05,LR0501
Liberia,LBR,Grand Bassa,LBR04,District No. 1,LBR0402,LR04,LR0402
Liberia,LBR,Grand Bassa,LBR04,District No. 2,LBR0403,LR04,LR0403
Liberia,LBR,Grand Bassa,LBR04,District No. 3,LBR0404,LR04,LR0404
Liberia,LBR,Grand Bassa,LBR04,District No. 4,LBR0405,LR04,LR0405
Liberia,LBR,Nimba,LBR12,Doe,LBR1203,LR12,LR1203
Liberia,LBR,Rivercess,LBR14,Doedain,LBR1403,LR14,LR1403
Liberia,LBR,Grand Kru,LBR07,Dorbor,LBR0705,LR07,LR0705
Liberia,LBR,Bomi,LBR01,Dowein,LBR0101,LR01,LR0101
Liberia,LBR,Sinoe,LBR15,Dugbe River,LBR1504,LR15,LR1504
Liberia,LBR,Grand Kru,LBR07,Dweh,LBR0706,LR07,LR0706
Liberia,LBR,Grand Kru,LBR07,Felo-Jekwi,LBR0707,LR07,LR0707
Liberia,LBR,Rivercess,LBR14,Fen River,LBR1404,LR14,LR1404
Liberia,LBR,Grand Kru,LBR07,Fenetoe,LBR0708,LR07,LR0708
Liberia,LBR,Margibi,LBR09,Firestone,LBR0901,LR09,LR0901
Liberia,LBR,Grand Kru,LBR07,Forpoh,LBR0709,LR07,LR0709
Liberia,LBR,Lofa,LBR08,Foya,LBR0801,LR08,LR0801
Liberia,LBR,Bong,LBR02,Fuamah,LBR0202,LR02,LR0202
Liberia,LBR,Nimba,LBR12,Garr-Bain,LBR1204,LR12,LR1204
Liberia,LBR,Grand Kru,LBR07,Garraway,LBR0710,LR07,LR0710
Liberia,LBR,Grand Cape Mount,LBR05,Garwula,LBR0502,LR05,LR0502
Liberia,LBR,Grand Gedeh,LBR06,Gbao,LBR0603,LR06,LR0603
Liberia,LBR,Gbarpolu,LBR03,Gbarma,LBR0304,LR03,LR0304
Liberia,LBR,River Gee,LBR13,Gbeapo,LBR1302,LR13,LR1302
Liberia,LBR,Nimba,LBR12,Gbehlay-Geh,LBR1205,LR12,LR1205
Liberia,LBR,Nimba,LBR12,Gbi & Doru,LBR1206,LR12,LR1206
Liberia,LBR,Grand Gedeh,LBR06,Gboe-Ploe,LBR0604,LR06,LR0604
Liberia,LBR,Nimba,LBR12,Gbor,LBR1207,LR12,LR1207
Liberia,LBR,Grand Kru,LBR07,Gee,LBR0711,LR07,LR0711
Liberia,LBR,Margibi,LBR09,Gibi,LBR0902,LR09,LR0902
Liberia,LBR,River Gee,LBR13,Glaro,LBR1303,LR13,LR1303
Liberia,LBR,Grand Gedeh,LBR06,Glio-Twarbo,LBR0605,LR06,LR0605
Liberia,LBR,Grand Cape Mount,LBR05,Golakonneh,LBR0503,LR05,LR0503
Liberia,LBR,Gbarpolu,LBR03,Gounwolaila,LBR0305,LR03,LR0305
Liberia,LBR,Grand Kru,LBR07,Grand Cess Wedabo,LBR0712,LR07,LR0712
Liberia,LBR,Montserrado,LBR11,Greater Monrovia,LBR1103,LR11,LR1103
Liberia,LBR,Sinoe,LBR15,Greenville,LBR1505,LR15,LR1505
Liberia,LBR,Maryland,LBR10,Gwelekpoken,LBR1001,LR10,LR1001
Liberia,LBR,Maryland,LBR10,Harper,LBR1002,LR10,LR1002
Liberia,LBR,Sinoe,LBR15,Jaedae,LBR1506,LR15,LR1506
Liberia,LBR,Sinoe,LBR15,Jeadepo,LBR1507,LR15,LR1507
Liberia,LBR,Rivercess,LBR14,Jo River,LBR1405,LR14,LR1405
Liberia,LBR,Bong,LBR02,Jorquelleh,LBR0203,LR02,LR0203
Liberia,LBR,Sinoe,LBR15,Juarzon,LBR1508,LR15,LR1508
Liberia,LBR,Margibi,LBR09,Kakata,LBR0903,LR09,LR0903
Liberia,LBR,Maryland,LBR10,Karluway No. 1,LBR1003,LR10,LR1003
Liberia,LBR,Maryland,LBR10,Karluway No. 2,LBR1004,LR10,LR1004
Liberia,LBR,Bomi,LBR01,Klay,LBR0102,LR01,LR0102
Liberia,LBR,Bong,LBR02,Kokoyah,LBR0204,LR02,LR0204
Liberia,LBR,Lofa,LBR08,Kolahun,LBR0802,LR08,LR0802
Liberia,LBR,Grand Gedeh,LBR06,Konobo,LBR0606,LR06,LR0606
Liberia,LBR,Bong,LBR02,Kpaai,LBR0205,LR02,LR0205
Liberia,LBR,Nimba,LBR12,Kparblee,LBR1208,LR12,LR1208
Liberia,LBR,Sinoe,LBR15,Kpayan,LBR1509,LR15,LR1509
Liberia,LBR,Grand Kru,LBR07,Kpi,LBR0713,LR07,LR0713
Liberia,LBR,Sinoe,LBR15,Kulu Shaw Boe,LBR1510,LR15,LR1510
Liberia,LBR,Nimba,LBR12,Leewehpea-Mahn,LBR1209,LR12,LR1209
Liberia,LBR,Grand Kru,LBR07,Lower Jloh,LBR0714,LR07,LR0714
Liberia,LBR,Margibi,LBR09,Mambah Kaba,LBR0904,LR09,LR0904
Liberia,LBR,Nimba,LBR12,Meinpea-Mahn,LBR1210,LR12,LR1210
Liberia,LBR,River Gee,LBR13,Nanee,LBR1305,LR13,LR1305
Liberia,LBR,Grand Bassa,LBR04,Neekreen,LBR0406,LR04,LR0406
Liberia,LBR,Rivercess,LBR14,Norwein,LBR1406,LR14,LR1406
Liberia,LBR,Grand Kru,LBR07,Nrokwia-Wesldow,LBR0715,LR07,LR0715
Liberia,LBR,River Gee,LBR13,Nyenawliken,LBR1306,LR13,LR1306
Liberia,LBR,River Gee,LBR13,Nyenebo,LBR1307,LR13,LR1307
Liberia,LBR,Maryland,LBR10,Nyorken,LBR1005,LR10,LR1005
Liberia,LBR,Grand Bassa,LBR04,Owensgrove,LBR0407,LR04,LR0407
Liberia,LBR,Bong,LBR02,Panta,LBR0206,LR02,LR0206
Liberia,LBR,Sinoe,LBR15,Plahn Nyarn,LBR1511,LR15,LR1511
Liberia,LBR,Maryland,LBR10,Pleebo/Sodoken,LBR1006,LR10,LR1006
Liberia,LBR,Grand Cape Mount,LBR05,Porkpa,LBR0504,LR05,LR0504
Liberia,LBR,Grand Gedeh,LBR06,Putu,LBR0607,LR06,LR0607
Liberia,LBR,Sinoe,LBR15,Pynes Town,LBR1512,LR15,LR1512
Liberia,LBR,Lofa,LBR08,Quardu Boundi,LBR0803,LR08,LR0803
Liberia,LBR,Bong,LBR02,Salala,LBR0207,LR02,LR0207
Liberia,LBR,Lofa,LBR08,Salayea,LBR0804,LR08,LR0804
Liberia,LBR,Rivercess,LBR14,Sam Gbalor,LBR1407,LR14,LR1407
Liberia,LBR,Nimba,LBR12,Sanniquellie Mahn,LBR1211,LR12,LR1211
Liberia,LBR,Bong,LBR02,Sanoyeah,LBR0208,LR02,LR0208
Liberia,LBR,Sinoe,LBR15,Sanquin Dist No. 1,LBR1513,LR15,LR1513
Liberia,LBR,Sinoe,LBR15,Sanquin Dist No. 3,LBR1514,LR15,LR1514
Liberia,LBR,Sinoe,LBR15,Sanquin Dist No.2,LBR1515,LR15,LR1515
Liberia,LBR,River Gee,LBR13,Sarbo,LBR1309,LR13,LR1309
Liberia,LBR,Sinoe,LBR15,Seekon,LBR1516,LR15,LR1516
Liberia,LBR,Bomi,LBR01,Senjeh,LBR0103,LR01,LR0103
Liberia,LBR,Grand Bassa,LBR04,St. John River City,LBR0408,LR04,LR0408
Liberia,LBR,Montserrado,LBR11,St. Paul River,LBR1104,LR11,LR1104
Liberia,LBR,Bong,LBR02,Suakoko,LBR0209,LR02,LR0209
Liberia,LBR,Bomi,LBR01,Suehn Mecca,LBR0104,LR01,LR0104
Liberia,LBR,Grand Gedeh,LBR06,Tchien,LBR0608,LR06,LR0608
Liberia,LBR,Grand Cape Mount,LBR05,Tewor,LBR0505,LR05,LR0505
Liberia,LBR,Montserrado,LBR11,Todee,LBR1105,LR11,LR1105
Liberia,LBR,Grand Kru,LBR07,Trenbo,LBR0716,LR07,LR0716
Liberia,LBR,Bong,LBR02,Tukpahblee,LBR0210,LR02,LR0210
Liberia,LBR,River Gee,LBR13,Tuobo,LBR1310,LR13,LR1310
Liberia,LBR,Nimba,LBR12,Twan River,LBR1212,LR12,LR1212
Liberia,LBR,Grand Kru,LBR07,Upper Jloh,LBR0717,LR07,LR0717
Liberia,LBR,Lofa,LBR08,Vahun,LBR0805,LR08,LR0805
Liberia,LBR,Lofa,LBR08,Voinjama,LBR0806,LR08,LR0806
Liberia,LBR,Sinoe,LBR15,Wedjah,LBR1517,LR15,LR1517
Liberia,LBR,Nimba,LBR12,Wee-Gbehyi-Mahn,LBR1213,LR12,LR1213
Liberia,LBR,Maryland,LBR10,Whojah,LBR1007,LR10,LR1007
Liberia,LBR,Grand Kru,LBR07,Wlogba,LBR0718,LR07,LR0718
Liberia,LBR,Nimba,LBR12,Yarmein,LBR1214,LR12,LR1214
Liberia,LBR,Nimba,LBR12,Yarpea Mahn,LBR1215,LR12,LR1215
Liberia,LBR,Nimba,LBR12,Yarwein Mehnsonnoh,LBR1216,LR12,LR1216
Liberia,LBR,Bong,LBR02,Yeallequelleh,LBR0211,LR02,LR0211
Liberia,LBR,Rivercess,LBR14,Zarflahn,LBR1408,LR14,LR1408
Liberia,LBR,Nimba,LBR12,Zoe-Gbao,LBR1217,LR12,LR1217
Liberia,LBR,Lofa,LBR08,Zorzor,LBR0807,LR08,LR0807
Liberia,LBR,Bong,LBR02,Zota,LBR0212,LR02,LR0212
Liberia,LBR,Gbarpolu,LBR03,Kongba,LBR0306,LR03,LR0306
Liberia,LBR,River Gee,LBR13,Karforh,LBR1304,LR13,LR1304
Liberia,LBR,River Gee,LBR13,Potupo,LBR1308,LR13,LR1308
