CNTRY_NAME,CNTRY_CODE,ADM1_NAME,ADM1_CODE,ADM2_NAME,ADM2_CODE,HRname,HRpcode,HRparent
Nigeria,NGA,Abia,NGA001,Aba North,NGA001001,Aba North,NG001001,NG001
Nigeria,NGA,Abia,NGA001,Aba South,NGA001002,Aba South,NG001002,NG001
Nigeria,NGA,Abia,NGA001,Arochukwu,NGA001003,Arochukwu,NG001003,NG001
Nigeria,NGA,Abia,NGA001,Bende,NGA001004,Bende,NG001004,NG001
Nigeria,NGA,Abia,NGA001,Ikwuano,NGA001005,Ikwuano,NG001005,NG001
Nigeria,NGA,Abia,NGA001,Isiala-Ngwa North,NGA001006,Isiala-Ngwa North,NG001006,NG001
Nigeria,NGA,Abia,NGA001,Isiala-Ngwa South,NGA001007,Isiala-Ngwa South,NG001007,NG001
Nigeria,NGA,Abia,NGA001,Isuikwato,NGA001008,Isuikwato,NG001008,NG001
Nigeria,NGA,Abia,NGA001,Obi Nwa,NGA001009,Obi Nwa,NG001009,NG001
Nigeria,NGA,Abia,NGA001,Ohafia,NGA001010,Ohafia,NG001010,NG001
Nigeria,NGA,Abia,NGA001,Osisioma Ngwa,NGA001011,Osisioma Ngwa,NG001011,NG001
Nigeria,NGA,Abia,NGA001,Ugwunagbo,NGA001012,Ugwunagbo,NG001012,NG001
Nigeria,NGA,Abia,NGA001,Ukwa East,NGA001013,Ukwa East,NG001013,NG001
Nigeria,NGA,Abia,NGA001,Ukwa West,NGA001014,Ukwa West,NG001014,NG001
Nigeria,NGA,Abia,NGA001,Umu-Neochi,NGA001017,Umu-Neochi,NG001017,NG001
Nigeria,NGA,Abia,NGA001,Umuahia North,NGA001015,Umuahia North,NG001015,NG001
Nigeria,NGA,Abia,NGA001,Umuahia South,NGA001016,Umuahia South,NG001016,NG001
Nigeria,NGA,Adamawa,NGA002,Demsa,NGA002001,Demsa,NG002001,NG002
Nigeria,NGA,Adamawa,NGA002,Gireri,NGA002004,Gireri,NG002004,NG002
Nigeria,NGA,Adamawa,NGA002,Gombi,NGA002005,Gombi,NG002005,NG002
Nigeria,NGA,Adamawa,NGA002,Guyuk,NGA002006,Guyuk,NG002006,NG002
Nigeria,NGA,Adamawa,NGA002,Hong,NGA002007,Hong,NG002007,NG002
Nigeria,NGA,Adamawa,NGA002,Lamurde,NGA002009,Lamurde,NG002009,NG002
Nigeria,NGA,Adamawa,NGA002,Mayo-Belwa,NGA002012,Mayo-Belwa,NG002012,NG002
Nigeria,NGA,Adamawa,NGA002,Numan,NGA002016,Numan,NG002016,NG002
Nigeria,NGA,Adamawa,NGA002,Shelleng,NGA002017,Shelleng,NG002017,NG002
Nigeria,NGA,Adamawa,NGA002,Song,NGA002018,Song,NG002018,NG002
Nigeria,NGA,Adamawa,NGA002,Yola North,NGA002020,Yola North,NG002020,NG002
Nigeria,NGA,Adamawa,NGA002,Yola South,NGA002021,Yola South,NG002021,NG002
Nigeria,NGA,Akwa lbom,NGA003,Abak,NGA003001,Abak,NG003001,NG003
Nigeria,NGA,Akwa lbom,NGA003,Eket,NGA003003,Eket,NG003003,NG003
Nigeria,NGA,Akwa lbom,NGA003,Esit Eket,NGA003004,Esit Eket,NG003004,NG003
Nigeria,NGA,Akwa lbom,NGA003,Essien Udim,NGA003005,Essien Udim,NG003005,NG003
Nigeria,NGA,Akwa lbom,NGA003,Etim Ekpo,NGA003006,Etim Ekpo,NG003006,NG003
Nigeria,NGA,Akwa lbom,NGA003,Etinan,NGA003007,Etinan,NG003007,NG003
Nigeria,NGA,Akwa lbom,NGA003,Ibesikpo Asutan,NGA003009,Ibesikpo Asutan,NG003009,NG003
Nigeria,NGA,Akwa lbom,NGA003,Ibiono Ibom,NGA003010,Ibiono Ibom,NG003010,NG003
Nigeria,NGA,Akwa lbom,NGA003,Ika,NGA003011,Ika,NG003011,NG003
Nigeria,NGA,Akwa lbom,NGA003,Ikono,NGA003012,Ikono,NG003012,NG003
Nigeria,NGA,Akwa lbom,NGA003,Ikot Abasi,NGA003013,Ikot Abasi,NG003013,NG003
Nigeria,NGA,Akwa lbom,NGA003,Ikot Ekpene,NGA003014,Ikot Ekpene,NG003014,NG003
Nigeria,NGA,Akwa lbom,NGA003,Ini,NGA003015,Ini,NG003015,NG003
Nigeria,NGA,Akwa lbom,NGA003,Itu,NGA003016,Itu,NG003016,NG003
Nigeria,NGA,Akwa lbom,NGA003,Mkpat Enin,NGA003018,Mkpat Enin,NG003018,NG003
Nigeria,NGA,Akwa lbom,NGA003,Nsit Atai,NGA003019,Nsit Atai,NG003019,NG003
Nigeria,NGA,Akwa lbom,NGA003,Nsit Ibom,NGA003020,Nsit Ibom,NG003020,NG003
Nigeria,NGA,Akwa lbom,NGA003,Nsit Ubium,NGA003021,Nsit Ubium,NG003021,NG003
Nigeria,NGA,Akwa lbom,NGA003,Obot Akara,NGA003022,Obot Akara,NG003022,NG003
Nigeria,NGA,Akwa lbom,NGA003,Okobo,NGA003023,Okobo,NG003023,NG003
Nigeria,NGA,Akwa lbom,NGA003,Onna,NGA003024,Onna,NG003024,NG003
Nigeria,NGA,Akwa lbom,NGA003,Oruk Anam,NGA003026,Oruk Anam,NG003026,NG003
Nigeria,NGA,Akwa lbom,NGA003,Ukanafun,NGA003028,Ukanafun,NG003028,NG003
Nigeria,NGA,Akwa lbom,NGA003,Uruan,NGA003029,Uruan,NG003029,NG003
Nigeria,NGA,Akwa lbom,NGA003,Urue-Offong/Oruko,NGA003030,Urue-Offong/Oruko,NG003030,NG003
Nigeria,NGA,Akwa lbom,NGA003,Uyo,NGA003031,Uyo,NG003031,NG003
Nigeria,NGA,Anambra,NGA004,Aguata,NGA004001,Aguata,NG004001,NG004
Nigeria,NGA,Anambra,NGA004,Anambra East,NGA004002,Anambra East,NG004002,NG004
Nigeria,NGA,Anambra,NGA004,Anambra West,NGA004003,Anambra West,NG004003,NG004
Nigeria,NGA,Anambra,NGA004,Anaocha,NGA004004,Anaocha,NG004004,NG004
Nigeria,NGA,Anambra,NGA004,Awka North,NGA004005,Awka North,NG004005,NG004
Nigeria,NGA,Anambra,NGA004,Awka South,NGA004006,Awka South,NG004006,NG004
Nigeria,NGA,Anambra,NGA004,Ayamelum,NGA004007,Ayamelum,NG004007,NG004
Nigeria,NGA,Anambra,NGA004,Dunukofia,NGA004008,Dunukofia,NG004008,NG004
Nigeria,NGA,Anambra,NGA004,Ekwusigo,NGA004009,Ekwusigo,NG004009,NG004
Nigeria,NGA,Anambra,NGA004,Idemili North,NGA004010,Idemili North,NG004010,NG004
Nigeria,NGA,Anambra,NGA004,Idemili South,NGA004011,Idemili South,NG004011,NG004
Nigeria,NGA,Anambra,NGA004,Ihiala,NGA004012,Ihiala,NG004012,NG004
Nigeria,NGA,Anambra,NGA004,Njikoka,NGA004013,Njikoka,NG004013,NG004
Nigeria,NGA,Anambra,NGA004,Nnewi North,NGA004014,Nnewi North,NG004014,NG004
Nigeria,NGA,Anambra,NGA004,Nnewi South,NGA004015,Nnewi South,NG004015,NG004
Nigeria,NGA,Anambra,NGA004,Ogbaru,NGA004016,Ogbaru,NG004016,NG004
Nigeria,NGA,Anambra,NGA004,Onitsha North,NGA004017,Onitsha North,NG004017,NG004
Nigeria,NGA,Anambra,NGA004,Onitsha South,NGA004018,Onitsha South,NG004018,NG004
Nigeria,NGA,Anambra,NGA004,Orumba North,NGA004019,Orumba North,NG004019,NG004
Nigeria,NGA,Anambra,NGA004,Orumba South,NGA004020,Orumba South,NG004020,NG004
Nigeria,NGA,Anambra,NGA004,Oyi,NGA004021,Oyi,NG004021,NG004
Nigeria,NGA,Bauchi,NGA005,Alkaleri,NGA005001,Alkaleri,NG005001,NG005
Nigeria,NGA,Bauchi,NGA005,Bauchi,NGA005002,Bauchi,NG005002,NG005
Nigeria,NGA,Bauchi,NGA005,Bogoro,NGA005003,Bogoro,NG005003,NG005
Nigeria,NGA,Bauchi,NGA005,Damban,NGA005004,Damban,NG005004,NG005
Nigeria,NGA,Bauchi,NGA005,Darazo,NGA005005,Darazo,NG005005,NG005
Nigeria,NGA,Bauchi,NGA005,Dass,NGA005006,Dass,NG005006,NG005
Nigeria,NGA,Bauchi,NGA005,Gamawa,NGA005007,Gamawa,NG005007,NG005
Nigeria,NGA,Bauchi,NGA005,Ganjuwa,NGA005008,Ganjuwa,NG005008,NG005
Nigeria,NGA,Bauchi,NGA005,Giade,NGA005009,Giade,NG005009,NG005
Nigeria,NGA,Bauchi,NGA005,Itas/Gadau,NGA005010,Itas/Gadau,NG005010,NG005
Nigeria,NGA,Bauchi,NGA005,Jama'are,NGA005011,Jama'are,NG005011,NG005
Nigeria,NGA,Bauchi,NGA005,Katagum,NGA005012,Katagum,NG005012,NG005
Nigeria,NGA,Bauchi,NGA005,Kirfi,NGA005013,Kirfi,NG005013,NG005
Nigeria,NGA,Bauchi,NGA005,Misau,NGA005014,Misau,NG005014,NG005
Nigeria,NGA,Bauchi,NGA005,Ningi,NGA005015,Ningi,NG005015,NG005
Nigeria,NGA,Bauchi,NGA005,Shira,NGA005016,Shira,NG005016,NG005
Nigeria,NGA,Bauchi,NGA005,Tafawa-Balewa,NGA005017,Tafawa-Balewa,NG005017,NG005
Nigeria,NGA,Bauchi,NGA005,Toro,NGA005018,Toro,NG005018,NG005
Nigeria,NGA,Bauchi,NGA005,Warji,NGA005019,Warji,NG005019,NG005
Nigeria,NGA,Bauchi,NGA005,Zaki,NGA005020,Zaki,NG005020,NG005
Nigeria,NGA,Bayelsa,NGA006,Kolokuma/Opokuma,NGA006003,Kolokuma/Opokuma,NG006003,NG006
Nigeria,NGA,Bayelsa,NGA006,Nembe,NGA006004,Nembe,NG006004,NG006
Nigeria,NGA,Bayelsa,NGA006,Ogbia,NGA006005,Ogbia,NG006005,NG006
Nigeria,NGA,Bayelsa,NGA006,Sagbama,NGA006006,Sagbama,NG006006,NG006
Nigeria,NGA,Bayelsa,NGA006,Yenegoa,NGA006008,Yenegoa,NG006008,NG006
Nigeria,NGA,Benue,NGA007,Ado,NGA007001,Ado,NG007001,NG007
Nigeria,NGA,Benue,NGA007,Agatu,NGA007002,Agatu,NG007002,NG007
Nigeria,NGA,Benue,NGA007,Apa,NGA007003,Apa,NG007003,NG007
