NOM,AREA,PERIMETRE,PCODE,SALB_PCODE
DAKAR,544119279.00,159022.43,AFRSEN001,SEN001
SAINT LOUIS,18958417855.00,953610.70,AFRSEN010,SEN010
THIES,6590439666.00,504228.59,AFRSEN013,SEN013
MATAM,28849540548.50,941224.62,AFRSEN009,SEN009
DIOURBEL,4859869317.50,367748.17,AFRSEN002,SEN002
LOUGA,25641771210.50,836580.66,AFRSEN008,SEN008
ZIGUINCHOR,7353432832.50,408524.83,AFRSEN014,SEN014
SEDHIOU,7341979264.00,382082.38,AFRSEN011,SEN011
KOLDA,13719271729.50,718133.37,AFRSEN007,SEN007
KEDOUGOU,16821053662.50,848683.82,AFRSEN006,SEN006
TAMABACOUNDA,42635946460.67,1431481.01,AFRSEN012,SEN012
KAFFRINE,11039008193.18,463562.77,AFRSEN004,SEN004
FATICK,7046559876.00,597593.61,AFRSEN003,SEN003
KAOLACK,5261135599.93,434770.35,AFRSEN005,SEN005
