NOM,REGION,SALB_PCODE,DEVINFO_PC
BAMBEY,DIOURBEL,SEN002001,AFRSEN002001
ZIGUINCHOR,ZIGUINCHOR,SEN014003,AFRSEN014003
MATAM,MATAM,SEN009002,AFRSEN009002
TIVAOUANE,THIES,SEN013003,AFRSEN013003
LOUGA,LOUGA,SEN008003,AFRSEN008003
LINGUERE,LOUGA,SEN008002,AFRSEN008002
OUSSOUYE,ZIGUINCHOR,SEN014002,AFRSEN014002
KEBEMER,LOUGA,SEN008001,AFRSEN008001
THIES,THIES,SEN013002,AFRSEN013002
DIOURBEL,DIOURBEL,SEN002002,AFRSEN002002
KANEL,MATAM,SEN009001,AFRSEN009001
PODOR,SAINT-LOUIS,SEN010002,AFRSEN010002
BIGNONA,ZIGUINCHOR,SEN014001,AFRSEN014001
DAGANA,SAINT-LOUIS,SEN010001,AFRSEN010001
RANEROU,MATAM,SEN009003,AFRSEN009003
MBACKE,DIOURBEL,SEN002003,AFRSEN002003
MBOUR,THIES,SEN013001,AFRSEN013001
SAINT LOUIS,SAINT-LOUIS,SEN010003,AFRSEN010003
GUINGUINEO,KAOLACK,SEN005001,AFRSEN005001
KAOLACK,KAOLACK,SEN005002,AFRSEN005002
NIORO DU RIP,KAOLACK,SEN005003,AFRSEN005003
SALEMATA,KEDOUGOU,SEN006002,AFRSEN006002
KEDOUGOU,KEDOUGOU,SEN006001,AFRSEN006001
SARAYA,KEDOUGOU,SEN006003,AFRSEN006003
KOUMPENTOUM,TAMBACOUNDA,SEN012003,AFRSEN012003
TAMBACOUNDA,TAMBACOUNDA,SEN012004,AFRSEN012004
GOUDIRY,TAMBACOUNDA,SEN012002,AFRSEN012002
BAKEL,TAMBACOUNDA,SEN012001,AFRSEN012001
MEDINA YORO FOULAH,KOLDA,SEN007002,AFRSEN007002
KOLDA,KOLDA,SEN007001,AFRSEN007001
VELINGARA,KOLDA,SEN007003,AFRSEN007003
BOUNKILING,SEDHIOU,SEN011001,AFRSEN011001
GOUDOMP,SEDHIOU,SEN011002,AFRSEN011002
SEDHIOU,SEDHIOU,SEN011003,AFRSEN011003
FOUNDIOUGNE,FATICK,SEN003002,AFRSEN003002
FATICK,FATICK,SEN003001,AFRSEN003001
GOSSAS,FATICK,SEN003003,AFRSEN003003
KOUNGHEUL,KAFFRINE,SEN004003,AFRSEN004003
BIRKELANE,KAFFRINE,SEN004001,AFRSEN004001
MALEM HODAR,KAFFRINE,SEN004004,AFRSEN004004
KAFFRINE,KAFFRINE,SEN004002,AFRSEN004002
RUFISQUE,DAKAR,SEN001004,AFRSEN001004
GUEDIAWAYE,DAKAR,SEN001002,AFRSEN001002
PIKINE,DAKAR,SEN001003,AFRSEN001003
DAKAR,DAKAR,SEN001001,AFRSEN001001
