CNTRY_NAME,CNTRY_CODE,ADM1_NAME,ADM1_CODE,ADM2_NAME,ADM2_CODE,WHO_REGION,ISO_2_CODE,ADM2_COD_1,ADM1_COD_1,ADM0_CODE,GUID,ISO_3_CODE,WHO_CODE,ISO_2_ADM2,LVL,WHO_STATUS,UN_CODE,UNICEF_REG,CENTER_LON,CENTER_LAT,GlobalID
Sierra Leone,SLE,Southern,SLE03,Pujehun,SLE0304,AFRO,SL,SL001003004000000000,SL001003000000000000,SL001000000000000000,{5897C1E2-657A-4ABE-A2D0-D58CA9BED62F},SLE,SIL,SL_PUJEHUN,2,Member state,694,WCARO,-11.57242061430,7.32219946466,{417CD18F-BF0A-47C5-83C7-083A2F27625D}
Sierra Leone,SLE,Southern,SLE03,Bonthe,SLE0302,AFRO,SL,SL001003002000000000,SL001003000000000000,SL001000000000000000,{455002AC-6855-4BA2-9957-4CE860800E67},SLE,SIL,SL_BONTHE,2,Member state,694,WCARO,-12.28484288550,7.50414610209,{587AACE3-6E13-4EC4-9690-98E337D6DE36}
Sierra Leone,SLE,Southern,SLE03,Moyamba,SLE0303,AFRO,SL,SL001003003000000000,SL001003000000000000,SL001000000000000000,{87625F44-EB55-4AC4-844D-648DEFD661FC},SLE,SIL,SL_MOYAMBA,2,Member state,694,WCARO,-12.45466002610,8.08506816093,{C3377917-5A68-4328-A97B-E18AF1162F7E}
Sierra Leone,SLE,Eastern,SLE01,Kenema,SLE0102,AFRO,SL,SL001001002000000000,SL001001000000000000,SL001000000000000000,{92B77ED9-62C6-4D2C-9199-820F23BD6412},SLE,SIL,SL_KENEMA,2,Member state,694,WCARO,-11.22576284710,7.94214556432,{3FF9ED27-83E2-44AD-9AB0-4A416CD626DC}
Sierra Leone,SLE,Eastern,SLE01,Kailahun,SLE0101,AFRO,SL,SL001001001000000000,SL001001000000000000,SL001000000000000000,{89BDC966-C3F9-43B5-8B1C-DDDE66D2CB80},SLE,SIL,SL_KAILAHUN,2,Member state,694,WCARO,-10.71771442810,8.09228705936,{41AF271F-9022-409B-9317-646EA8A5F40D}
Sierra Leone,SLE,Southern,SLE03,Bo,SLE0301,AFRO,SL,SL001003001000000000,SL001003000000000000,SL001000000000000000,{45071FD5-F095-4741-8825-907185AA34AB},SLE,SIL,SL_BO,2,Member state,694,WCARO,-11.75068803500,7.99359461610,{8E2D8C3C-1791-414D-AA71-2C948D7505F6}
Sierra Leone,SLE,Northern,SLE02,Tonkolili,SLE0205,AFRO,SL,SL001002005000000000,SL001002000000000000,SL001000000000000000,{BCC26BA3-AFDB-4FDA-8515-A7F1E9DDFFF0},SLE,SIL,SL_TONKOLILI,2,Member state,694,WCARO,-11.90216194660,8.69442970190,{FB7A670B-E2E1-450E-BBD1-03DA82DE5816}
Sierra Leone,SLE,Northern,SLE02,Port Loko,SLE0204,AFRO,SL,SL001002004000000000,SL001002000000000000,SL001000000000000000,{A28758B8-26B3-4838-9C28-37F59EAE608F},SLE,SIL,SL_PORT LOKO,2,Member state,694,WCARO,-12.75835424860,8.73493804628,{C89EA125-15BE-424D-8804-A3B427985228}
Sierra Leone,SLE,Eastern,SLE01,Kono,SLE0103,AFRO,SL,SL001001003000000000,SL001001000000000000,SL001000000000000000,{A6FFBA4B-2C67-4B1D-869E-FAE9C4B7002A},SLE,SIL,SL_KONO,2,Member state,694,WCARO,-10.96642525520,8.69471402857,{E160D14A-9169-4126-99F1-DF38C75DC419}
Sierra Leone,SLE,Northern,SLE02,Koinadugu,SLE0203,AFRO,SL,SL001002003000000000,SL001002000000000000,SL001000000000000000,{B813CF9C-F696-4198-8DEC-FA158DFF86F7},SLE,SIL,SL_KOINADUGU,2,Member state,694,WCARO,-11.35334702160,9.45527327139,{4FC1BA84-EEE6-4349-82D1-898692EBB0AA}
Sierra Leone,SLE,Northern,SLE02,Bombali,SLE0201,AFRO,SL,SL001002001000000000,SL001002000000000000,SL001000000000000000,{7E1CB444-4166-408D-ABE1-F5850FED7570},SLE,SIL,SL_BOMBALI,2,Member state,694,WCARO,-12.19554464530,9.32328913639,{E1392C31-C381-41AD-B1B6-B969A7C56A92}
Sierra Leone,SLE,Northern,SLE02,Kambia,SLE0202,AFRO,SL,SL001002002000000000,SL001002000000000000,SL001000000000000000,{16FAC340-B054-43D4-9089-E51664302A43},SLE,SIL,SL_KAMBIA,2,Member state,694,WCARO,-12.82685557240,9.17121326335,{26EB57C5-EC4E-453C-86D4-42D12DA0F38B}
Sierra Leone,SLE,Western,SLE04,Western Area Rural,SLE0401,AFRO,SL,SL001004002000000000,SL001004000000000000,SL001000000000000000,{41EB9A32-0DA7-44E4-9769-F74D241D3FFF},SLE,SIL,SL_WESTERN RURAL,2,Member state,694,WCARO,-13.10472720340,8.32608473145,{74134F61-0AB3-4CAD-AFFE-4FDA3EC86DC5}
Sierra Leone,SLE,Western,SLE04,Western Area Urban,SLE0402,AFRO,SL,SL001004001000000000,SL001004000000000000,SL001000000000000000,{AF0629A9-26E3-4651-B322-4FD2E8241494},SLE,SIL,SL_FREETOWN,2,Member state,694,WCARO,-13.25161847910,8.46161143374,{12972833-36F6-4E32-97EB-B96E1A84BD8C}
