name,pcode,parent,admlevel
AGNEBY-TIASSA,CIV1302,CIV13,2
BAFING,CIV0502,CIV05,2
BAGOUE,CIV0101,CIV01,2
BELIER,CIV0702,CIV07,2
BERE,CIV0501,CIV05,2
BOUNKANI,CIV0301,CIV03,2
CAVALLY,CIV0603,CIV06,2
DISTRICT AUTONOME D'ABIDJAN,CIV1401,CIV14,2
DISTRICT AUTONOME DE YAMOUSSOUKRO,CIV1001,CIV10,2
FOLON,CIV0201,CIV02,2
GBEKE,CIV0402,CIV04,2
GBOKLE,CIV1203,CIV12,2
GOH,CIV1101,CIV11,2
GONTOUGO,CIV0302,CIV03,2
GRANDS PONTS,CIV1303,CIV13,2
GUEMON,CIV0602,CIV06,2
HAMBOL,CIV0401,CIV04,2
HAUT-SASSANDRA,CIV0801,CIV08,2
IFFOU,CIV0701,CIV07,2
INDENIE-DJUABLIN,CIV0901,CIV09,2
KABADOUGOU,CIV0202,CIV02,2
LOH-DJIBOUA,CIV1102,CIV11,2
MARAHOUE,CIV0802,CIV08,2
ME,CIV1301,CIV13,2
N'ZI,CIV0703,CIV07,2
NAWA,CIV1201,CIV12,2
PORO,CIV0102,CIV01,2
SAN PEDRO,CIV1202,CIV12,2
SUD-COMOE,CIV0902,CIV09,2
TCHOLOGO,CIV0103,CIV01,2
TONKPI,CIV0601,CIV06,2
WORODOUGOU,CIV0503,CIV05,2
