name,pcode,parent,admlevel
Yomou,GIN008006,GIN008,2
Nzerekore,GIN008005,GIN008,2
Lola,GIN008003,GIN008,2
Gueckedou,GIN008002,GIN008,2
Macenta,GIN008004,GIN008,2
Beyla,GIN008001,GIN008,2
Kissidougou,GIN003004,GIN003,2
Forecariah,GIN005003,GIN005,2
Conakry,GIN002001,GIN002,2
Kerouane,GIN004002,GIN004,2
Dubreka,GIN005002,GIN005,2
Faranah,GIN003003,GIN003,2
Coyah,GIN005001,GIN005,2
Boffa,GIN001001,GIN001,2
Mamou,GIN007002,GIN007,2
Kindia,GIN005005,GIN005,2
Fria,GIN005004,GIN005,2
Boke,GIN001002,GIN001,2
Kankan,GIN004001,GIN004,2
Dabola,GIN003001,GIN003,2
Dalaba,GIN007001,GIN007,2
Pita,GIN007003,GIN007,2
Telimele,GIN005006,GIN005,2
Kouroussa,GIN004003,GIN004,2
Mandiana,GIN004004,GIN004,2
Labe,GIN006002,GIN006,2
Lelouma,GIN006003,GIN006,2
Tougue,GIN006005,GIN006,2
Koubia,GIN006001,GIN006,2
Dinguiraye,GIN003002,GIN003,2
Gaoual,GIN001003,GIN001,2
Mali,GIN006004,GIN006,2
Siguiri,GIN004005,GIN004,2
Koundara,GIN001004,GIN001,2
