name,pcode,parent,admlevel
B'hai,LBR0601,LBR06,2
Barclayville,LBR0701,LBR07,2
Beawor,LBR1401,LBR14,2
Belleh,LBR0301,LBR03,2
Bleebo,LBR0702,LBR07,2
Bodae,LBR1501,LBR15,2
Boe and Quilla,LBR1201,LBR12,2
Boinsen,LBR0201,LBR02,2
Bokomu,LBR0302,LBR03,2
Bokon,LBR1502,LBR15,2
Bolloh,LBR0703,LBR07,2
Bopolu,LBR0303,LBR03,2
Buah,LBR0704,LBR07,2
Butaw,LBR1503,LBR15,2
Buu-Yao,LBR1202,LBR12,2
Careysburg,LBR1101,LBR11,2
Cavala,LBR0602,LBR06,2
Central Rivercess,LBR1402,LBR14,2
Chedepo,LBR1301,LBR13,2
Commonwealth,LBR1102,LBR11,2
Commonwealth B,LBR0401,LBR04,2
Commonwealth C,LBR0501,LBR05,2
District No. 1,LBR0402,LBR04,2
District No. 2,LBR0403,LBR04,2
District No. 3,LBR0404,LBR04,2
District No. 4,LBR0405,LBR04,2
Doe,LBR1203,LBR12,2
Doedain,LBR1403,LBR14,2
Dorbor,LBR0705,LBR07,2
Dowein,LBR0101,LBR01,2
Dugbe River,LBR1504,LBR15,2
Dweh,LBR0706,LBR07,2
Felo-Jekwi,LBR0707,LBR07,2
Fen River,LBR1404,LBR14,2
Fenetoe,LBR0708,LBR07,2
Firestone,LBR0901,LBR09,2
Forpoh,LBR0709,LBR07,2
Foya,LBR0801,LBR08,2
Fuamah,LBR0202,LBR02,2
Garr-Bain,LBR1204,LBR12,2
Garraway,LBR0710,LBR07,2
Garwula,LBR0502,LBR05,2
Gbao,LBR0603,LBR06,2
Gbarma,LBR0304,LBR03,2
Gbeapo,LBR1302,LBR13,2
Gbehlay-Geh,LBR1205,LBR12,2
Gbi & Doru,LBR1206,LBR12,2
Gboe-Ploe,LBR0604,LBR06,2
Gbor,LBR1207,LBR12,2
Gee,LBR0711,LBR07,2
Gibi,LBR0902,LBR09,2
Glaro,LBR1303,LBR13,2
Glio-Twarbo,LBR0605,LBR06,2
Golakonneh,LBR0503,LBR05,2
Gounwolaila,LBR0305,LBR03,2
Grand Cess Wedabo,LBR0712,LBR07,2
Greater Monrovia,LBR1103,LBR11,2
Greenville,LBR1505,LBR15,2
Gwelekpoken,LBR1001,LBR10,2
Harper,LBR1002,LBR10,2
Jaedae,LBR1506,LBR15,2
Jeadepo,LBR1507,LBR15,2
Jo River,LBR1405,LBR14,2
Jorquelleh,LBR0203,LBR02,2
Juarzon,LBR1508,LBR15,2
Kakata,LBR0903,LBR09,2
Karluway No. 1,LBR1003,LBR10,2
Karluway No. 2,LBR1004,LBR10,2
Klay,LBR0102,LBR01,2
Kokoyah,LBR0204,LBR02,2
Kolahun,LBR0802,LBR08,2
Konobo,LBR0606,LBR06,2
Kpaai,LBR0205,LBR02,2
Kparblee,LBR1208,LBR12,2
Kpayan,LBR1509,LBR15,2
Kpi,LBR0713,LBR07,2
Kulu Shaw Boe,LBR1510,LBR15,2
Leewehpea-Mahn,LBR1209,LBR12,2
Lower Jloh,LBR0714,LBR07,2
Mambah Kaba,LBR0904,LBR09,2
Meinpea-Mahn,LBR1210,LBR12,2
Nanee,LBR1305,LBR13,2
Neekreen,LBR0406,LBR04,2
Norwein,LBR1406,LBR14,2
Nrokwia-Wesldow,LBR0715,LBR07,2
Nyenawliken,LBR1306,LBR13,2
Nyenebo,LBR1307,LBR13,2
Nyorken,LBR1005,LBR10,2
Owensgrove,LBR0407,LBR04,2
Panta,LBR0206,LBR02,2
Plahn Nyarn,LBR1511,LBR15,2
Pleebo/Sodoken,LBR1006,LBR10,2
Porkpa,LBR0504,LBR05,2
Putu,LBR0607,LBR06,2
Pynes Town,LBR1512,LBR15,2
Quardu Boundi,LBR0803,LBR08,2
Salala,LBR0207,LBR02,2
Salayea,LBR0804,LBR08,2
Sam Gbalor,LBR1407,LBR14,2
Sanniquellie Mahn,LBR1211,LBR12,2
Sanoyeah,LBR0208,LBR02,2
Sanquin Dist No. 1,LBR1513,LBR15,2
Sanquin Dist No. 3,LBR1514,LBR15,2
Sanquin Dist No.2,LBR1515,LBR15,2
Sarbo,LBR1309,LBR13,2
Seekon,LBR1516,LBR15,2
Senjeh,LBR0103,LBR01,2
St. John River City,LBR0408,LBR04,2
St. Paul River,LBR1104,LBR11,2
Suakoko,LBR0209,LBR02,2
Suehn Mecca,LBR0104,LBR01,2
Tchien,LBR0608,LBR06,2
Tewor,LBR0505,LBR05,2
Todee,LBR1105,LBR11,2
Trenbo,LBR0716,LBR07,2
Tukpahblee,LBR0210,LBR02,2
Tuobo,LBR1310,LBR13,2
Twan River,LBR1212,LBR12,2
Upper Jloh,LBR0717,LBR07,2
Vahun,LBR0805,LBR08,2
Voinjama,LBR0806,LBR08,2
Wedjah,LBR1517,LBR15,2
Wee-Gbehyi-Mahn,LBR1213,LBR12,2
Whojah,LBR1007,LBR10,2
Wlogba,LBR0718,LBR07,2
Yarmein,LBR1214,LBR12,2
Yarpea Mahn,LBR1215,LBR12,2
Yarwein Mehnsonnoh,LBR1216,LBR12,2
Yeallequelleh,LBR0211,LBR02,2
Zarflahn,LBR1408,LBR14,2
Zoe-Gbao,LBR1217,LBR12,2
Zorzor,LBR0807,LBR08,2
Zota,LBR0212,LBR02,2
Kongba,LBR0306,LBR03,2
Karforh,LBR1304,LBR13,2
Potupo,LBR1308,LBR13,2
