name,pcode,parent,admlevel
Abia,NGA001,NGA,1
Adamawa,NGA002,NGA,1
Akwa lbom,NGA003,NGA,1
Anambra,NGA004,NGA,1
Bauchi,NGA005,NGA,1
Bayelsa,NGA006,NGA,1
Benue,NGA007,NGA,1
Borno,NGA008,NGA,1
Cross River,NGA009,NGA,1
Delta,NGA010,NGA,1
Ebonyi,NGA011,NGA,1
Edo,NGA012,NGA,1
Ekiti,NGA013,NGA,1
Enugu,NGA014,NGA,1
Federal Capital Territory,NGA015,NGA,1
Gombe,NGA016,NGA,1
Imo,NGA017,NGA,1
Jigawa,NGA018,NGA,1
Kaduna,NGA019,NGA,1
Kano,NGA020,NGA,1
Katsina,NGA021,NGA,1
Kebbi,NGA022,NGA,1
Kogi,NGA023,NGA,1
Kwara,NGA024,NGA,1
Lagos,NGA025,NGA,1
Nasarawa,NGA026,NGA,1
Niger,NGA027,NGA,1
Ogun,NGA028,NGA,1
Ondo,NGA029,NGA,1
Osun,NGA030,NGA,1
Oyo,NGA031,NGA,1
Plateau,NGA032,NGA,1
Rivers,NGA033,NGA,1
Sokoto,NGA034,NGA,1
Taraba,NGA035,NGA,1
Yobe,NGA036,NGA,1
Zamfara,NGA037,NGA,1
