name,pcode,parent,admlevel
RUFISQUE,SEN001004,SEN001,2
GUEDIAWAYE,SEN001002,SEN001,2
PIKINE,SEN001003,SEN001,2
DAKAR,SEN001001,SEN001,2
BAMBEY,SEN002001,SEN002,2
DIOURBEL,SEN002002,SEN002,2
MBACKE,SEN002003,SEN002,2
FOUNDIOUGNE,SEN003002,SEN003,2
FATICK,SEN003001,SEN003,2
GOSSAS,SEN003003,SEN003,2
KOUNGHEUL,SEN004003,SEN004,2
BIRKELANE,SEN004001,SEN004,2
MALEM HODAR,SEN004004,SEN004,2
KAFFRINE,SEN004002,SEN004,2
GUINGUINEO,SEN005001,SEN005,2
KAOLACK,SEN005002,SEN005,2
NIORO DU RIP,SEN005003,SEN005,2
SALEMATA,SEN006002,SEN006,2
KEDOUGOU,SEN006001,SEN006,2
SARAYA,SEN006003,SEN006,2
MEDINA YORO FOULAH,SEN007002,SEN007,2
KOLDA,SEN007001,SEN007,2
VELINGARA,SEN007003,SEN007,2
LOUGA,SEN008003,SEN008,2
LINGUERE,SEN008002,SEN008,2
KEBEMER,SEN008001,SEN008,2
MATAM,SEN009002,SEN009,2
KANEL,SEN009001,SEN009,2
RANEROU,SEN009003,SEN009,2
PODOR,SEN010002,SEN010,2
DAGANA,SEN010001,SEN010,2
SAINT LOUIS,SEN010003,SEN010,2
BOUNKILING,SEN011001,SEN011,2
GOUDOMP,SEN011002,SEN011,2
SEDHIOU,SEN011003,SEN011,2
KOUMPENTOUM,SEN012003,SEN012,2
TAMBACOUNDA,SEN012004,SEN012,2
GOUDIRY,SEN012002,SEN012,2
BAKEL,SEN012001,SEN012,2
TIVAOUANE,SEN013003,SEN013,2
THIES,SEN013002,SEN013,2
MBOUR,SEN013001,SEN013,2
ZIGUINCHOR,SEN014003,SEN014,2
OUSSOUYE,SEN014002,SEN014,2
BIGNONA,SEN014001,SEN014,2
