"name","pcode","parent","admlevel"
"SAN PEDRO","CIV12","CIV",1
"ABENGOUROU","CIV09","CIV",1
"ODIENNE","CIV02","CIV",1
"ABIDJAN","CIV14","CIV",1
"YAMOUSSOUKRO","CIV10","CIV",1
"GAGNOA","CIV11","CIV",1
"DIMBOKRO","CIV07","CIV",1
"DABOU","CIV13","CIV",1
"MAN","CIV06","CIV",1
"DALOA","CIV08","CIV",1
"KORHOGO","CIV01","CIV",1
"BOUAKE","CIV04","CIV",1
"SEGUELA","CIV05","CIV",1
"BONDOUKOU","CIV03","CIV",1
"AGNEBY-TIASSA","CIV1302","CIV13",2
"BAFING","CIV0502","CIV05",2
"BAGOUE","CIV0101","CIV01",2
"BELIER","CIV0702","CIV07",2
"BERE","CIV0501","CIV05",2
"BOUNKANI","CIV0301","CIV03",2
"CAVALLY","CIV0603","CIV06",2
"DISTRICT AUTONOME D'ABIDJAN","CIV1401","CIV14",2
"DISTRICT AUTONOME DE YAMOUSSOUKRO","CIV1001","CIV10",2
"FOLON","CIV0201","CIV02",2
"GBEKE","CIV0402","CIV04",2
"GBOKLE","CIV1203","CIV12",2
"GOH","CIV1101","CIV11",2
"GONTOUGO","CIV0302","CIV03",2
"GRANDS PONTS","CIV1303","CIV13",2
"GUEMON","CIV0602","CIV06",2
"HAMBOL","CIV0401","CIV04",2
"HAUT-SASSANDRA","CIV0801","CIV08",2
"IFFOU","CIV0701","CIV07",2
"INDENIE-DJUABLIN","CIV0901","CIV09",2
"KABADOUGOU","CIV0202","CIV02",2
"LOH-DJIBOUA","CIV1102","CIV11",2
"MARAHOUE","CIV0802","CIV08",2
"ME","CIV1301","CIV13",2
"N'ZI","CIV0703","CIV07",2
"NAWA","CIV1201","CIV12",2
"PORO","CIV0102","CIV01",2
"SAN PEDRO","CIV1202","CIV12",2
"SUD-COMOE","CIV0902","CIV09",2
"TCHOLOGO","CIV0103","CIV01",2
"TONKPI","CIV0601","CIV06",2
"WORODOUGOU","CIV0503","CIV05",2
"Agboville","CIV130202","CIV1302",3
"Adzopí©","CIV130102","CIV1301",3
"Koro","CIV050201","CIV0502",3
"Ouaninou","CIV050203","CIV0502",3
"Touba","CIV050202","CIV0502",3
"San Pedro","CIV120202","CIV1202",3
"Sassandra","CIV120301","CIV1203",3
"Tabou","CIV120201","CIV1202",3
"Soubre","CIV120101","CIV1201",3
"Odienne","CIV020203","CIV0202",3
"Samatiguila","CIV020201","CIV0202",3
"Minignan","CIV020101","CIV0201",3
"Madinani","CIV020202","CIV0202",3
"Gagnoa","CIV110102","CIV1101",3
"Oume","CIV110101","CIV1101",3
"Daloa","CIV080102","CIV0801",3
"Zoukougbeu","CIV080103","CIV0801",3
"Issia","CIV080104","CIV0801",3
"Vavoua","CIV080101","CIV0801",3
"Tiebissou","CIV070202","CIV0702",3
"Toumodi","CIV070203","CIV0702",3
"Yamoussoukro","CIV100102","CIV1001",3
"Didievi","CIV070201","CIV0702",3
"ABIDJAN","CIV140101","CIV1401",3
"Alí©pí©","CIV130104","CIV1301",3
"Dabou","CIV130302","CIV1303",3
"Sikensi","CIV130203","CIV1302",3
"Grand Lahou","CIV130301","CIV1303",3
"Jacqueville","CIV130303","CIV1303",3
"Tiassalí©","CIV130201","CIV1302",3
"Bouafle","CIV080202","CIV0802",3
"Sinfra","CIV080203","CIV0802",3
"Zuenoula","CIV080201","CIV0802",3
"Bangolo","CIV060202","CIV0602",3
"Biankouma","CIV060101","CIV0601",3
"Danane","CIV060103","CIV0601",3
"Zouan Hounien","CIV060104","CIV0601",3
"Kouibly","CIV060201","CIV0602",3
"Man","CIV060102","CIV0601",3
"Duekoue","CIV060203","CIV0602",3
"Blolequin","CIV060301","CIV0603",3
"Guiglo","CIV060302","CIV0603",3
"Toulepleu","CIV060303","CIV0603",3
"Abengourou","CIV090102","CIV0901",3
"Bettií©","CIV090103","CIV0901",3
"Agnibilekrou","CIV090101","CIV0901",3
"Bocanda","CIV070301","CIV0703",3
"Bongouanou","CIV070303","CIV0703",3
"Arrah","CIV070304","CIV0703",3
"M'Batto","CIV070305","CIV0703",3
"Dimbokro","CIV070302","CIV0703",3
"M'Bahiakro","CIV070102","CIV0701",3
"Boundiali","CIV010103","CIV0101",3
"Kouto","CIV010102","CIV0101",3
"Ouangolodougou","CIV010301","CIV0103",3
"Dikodougou","CIV010203","CIV0102",3
"Sinematiali","CIV010202","CIV0102",3
"Korhogo","CIV010201","CIV0102",3
